Sample ID,PX,PY
r663,100.455028,334.127665
r664,217.746619,307.492059
r665,72.8078864,227.793741
r666,203.869697,42.8972653
r667,154.569884,348.078544
r668,121.629329,165.441763
r669,221.256749,29.3142183
r670,88.956941,281.565308
r671,132.972968,74.4411784
r672,207.402688,95.536251
r673,39.852041,287.279648
r674,114.684212,90.867592
r675,42.9587378,172.074555
r676,51.9999766,112.788292
r677,73.0702827,367.597469
r678,85.78869,21.5299508
r679,91.77422,86.156669
r680,109.948825,413.625792
r681,137.948598,341.483654
r682,230.86463,365.085936
r683,199.695159,125.756459
r684,249.244646,69.3734038
r685,99.660851,75.7951438
r686,217.799071,196.13121
r687,51.839692,173.666454
r688,49.9272449,80.804845
r689,194.746331,238.337369
r690,151.620999,333.231959
r691,166.044179,66.1089413
r692,49.5072081,175.23304
r693,230.344328,113.42138
r694,222.163716,396.729068
r695,31.0970752,64.6664886
r696,189.684399,372.379827
r697,148.349853,375.055198
r698,246.909736,31.3049388
r699,238.887195,341.446247
r700,129.434844,135.426601
r701,203.724915,83.383303
r702,141.210699,61.4530639
r703,68.6116359,318.76888
r704,192.113293,211.611405
r705,204.338471,187.637554
r706,189.530491,278.700278
r707,65.9897927,75.7634461
r708,91.495952,53.8694749
r709,98.031504,298.541707
r710,157.250296,353.287178
r711,231.797966,176.813903
r712,230.50481,355.532603
r713,112.604609,360.460008
r714,197.065317,383.138848
r715,211.116647,197.554943
r716,193.798751,60.2663159
r717,112.505261,390.689533
r718,91.556548,141.241323
r719,33.7930766,148.145453
r720,181.686311,362.764173
r721,67.5180625,266.493131
r722,170.025896,298.349874
r723,53.1638817,290.655743
r724,109.538845,115.873299
r725,95.38156,276.166055
r726,215.644376,224.264332
r727,108.396343,263.608037
r728,125.51459,361.322244
r729,125.373927,227.822418
r730,164.438789,54.453958
r731,116.937665,214.795968
r732,249.996387,271.316147
r733,252.984311,403.828931
r734,239.486726,40.170404
r735,39.88969,363.600062
r736,134.446307,56.8108274
r737,101.392464,133.806536
r738,181.624595,375.913087
r739,172.756627,405.857599
r740,226.226747,54.4574171
r741,247.588262,254.177286
r742,157.752096,37.9462512
r743,148.464573,129.573424
r744,246.006666,98.944984
r745,234.165237,258.315214
r746,118.473521,47.5862298
r747,32.0073794,203.77039
r748,206.784631,252.303063
r749,242.230734,246.884333
r750,110.59453,126.886946
r751,78.7810387,89.375064
r752,41.032618,325.668053
r753,113.866039,106.586301
r754,63.8147421,266.315521
r755,52.0699483,403.689311
r756,81.791099,106.925972
r757,152.779291,369.363206
r758,55.5366264,149.741673
r759,251.095238,99.137442
r760,246.685491,237.956781
r761,258.148591,97.294961
r762,189.490537,114.196806
r763,53.7868054,422.186057
r764,22.1558298,101.10802
r765,184.758929,428.186103
r766,183.492366,410.903319
r767,240.202612,111.785849
